"Variable","CLUSTER_1","CLUSTER_2","CLUSTER_3","CLUSTER_4","CLUSTER_5","CLUSTER_6"
"B7.B3",0.0671860464069556,0.699906698222944,0.76346684842156,0,0.245207791031604,0.796216771220912
"B8.B3",0,0,1.20993312254423,-0.879145220247677,0.343499414465368,0.447945618502522
"B8A.B3",0,0,0,-0.0106748069611019,0,0.109671008016256
"B11.B3",0,-1.34846052066883,0,5.04046818221557,-0.398943418592153,-1.27403119192125
"B12.B3",1.12761554271209,0,0.219602486380261,0.305531557009551,0,0
"B5.B4",-1.57067844598639,-0.335639370744138,0.298401915200177,0.478461131366291,0,0.112947276097914
"B6.B4",0,-0.468140717019942,0,0.0797816370881751,-0.654010977231941,-0.00889387880702348
"B7.B4",0.0165376995720044,0,0,1.96522050918523,0,0
"B8.B4",1.40390781025832,0,0,-0.119418566222944,0,-0.0766995382596396
"B8A.B4",0,0,-1.45520794402799,1.13509317509712,-0.186326678322722,-0.976916051758864
"B11.B4",-0.509446386530007,0.159169132143237,-0.288724987153693,1.50076813747728,-0.0139860799084923,-0.00699454809079214
"B12.B4",0,0,-0.380872453301915,0.784779069261201,0.0149978652875518,0
"B6.B5",0,-0.788921340335022,0,0,-0.199646151278107,-0.824361247065753
"B7.B5",0,0.291750912576993,0,-0.365313120543611,0,0
"B8.B5",0.258581158546618,0.404091891631093,0.0700514643652363,0,0,0
"B8A.B5",0,0,0,1.41489480969541,0,-1.00767010799802
"B11.B5",0,-0.00560938878155672,0,-1.10233738280671,0,0
"B12.B5",0.184480723603264,0,0.326760172119025,0,0.00416225872010286,0.158536137632756
"B7.B6",0.259293936148844,-0.000382620838061162,0,-2.96941229253409,-0.000359165860779901,0
"B8.B6",0,-2.8819641384055e-06,-0.194509202560738,0,-0.0245225677850501,-0.0305164601335336
"B8A.B6",-1.56383956820295,0,0,0,0.0154039982586035,-0.00289728044628236
"B11.B6",0,0,0,2.84031134065054,0.00135396803132705,0
"B12.B6",0,0.000443503471404611,-0.00186823871379046,0.788008315264944,0.00106306170820273,0
"B8.B7",0,-0.0401656124371281,-0.467122146623034,5.01020013020355,-0.0982972140180706,0.0612299206533408
"B8A.B7",-0.771250226419121,-0.0677959365562139,0,-4.6393460464048,0.163010652433982,0
"B11.B7",0,-0.00538359344451652,0,-3.14636165950693,0.00236520797406128,0.00203839842880549
"B12.B7",0,0.00964587166102157,0,-4.02524994799979,0.00077322583079412,0
"B8A.B8",1.50429589290721,-0.483641590122841,0.00903920520921545,2.63625526814118,-0.0866608533474227,0.00827144658138035
"B11.B8",0,-0.000256369220599925,0,0.550574094268861,-0.0062192227364495,0.00174233738249286
"B12.B8",-0.0496741154788776,0,0,1.41601674072624,0,0
"B11.B8A",0.0691621879278915,-0.000463946421206981,0,0,0,0
"B12.B8A",-0.124805605231404,0,-0.00198471695502155,0,0,7.39716506718993e-05
"B12.B11",0,0.020221359096181,-0.0428112865096808,-0.555701149495008,0.191420108856005,0
